Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1928,,,,,,,,,,25.5,28.3,30.4,
1929,33.5,27.3,26.2,24.2,19.7,17.2,16.4,18.8,21.1,22.8,25.2,29.9,23.5
1930,27.8,30.9,25.5,22.3,19.8,16.8,17.4,18.8,21.6,24.4,28.8,29.1,23.6
1931,30.9,28.2,26.2,21.9,19.6,17.2,16.8,18.8,21.9,25.1,25.4,26.3,23.2
1932,30.9,29.6,27,22.8,19.6,16.9,16.4,18.8,19.3,22.2,27.4,29.6,23.4
1933,28.1,29.7,27.6,22.7,20.3,17.9,16.8,18,20.3,25.5,23.5,26.4,23.1
1934,29.2,27.2,27.4,22.5,20.7,16.1,17.3,17.6,21.7,23.9,24.8,25.8,22.9
1935,27.8,28.2,26.4,23.7,20.7,17.7,17.4,20.3,20.7,25.7,26.8,26.8,23.5
1936,27.6,26,25.8,22.8,21.1,17.2,17,20.2,22.2,26.5,28.4,28.5,23.6
1937,30.2,27.4,26.8,22.2,21,15.4,17.5,19.2,22.8,22.9,24.9,29.2,23.3
1938,29.2,27.8,28.2,24.4,20.5,17.3,,18.1,22.3,25.7,27.7,,
1939,,,,,,,,,,,,32.6,
1940,33.3,32.8,32.7,24.3,19.7,,,,,,,,
1943,29.3,31.4,29.6,23.6,19.3,16.6,17,15.7,19.1,22.6,23.7,26.2,22.8
1944,31.4,30,27.5,23.9,19.4,17.4,17,17.3,21.9,26.5,30.5,32.4,24.6
1945,29.3,27.7,27.2,23,19.7,17.1,16.1,18.9,21.7,25.2,29.6,30.3,23.8
1946,34,30.3,25.9,21.6,20.5,17.3,,,,,,,
1953,,,,24.5,20,17.5,17.9,18.5,22.5,23.4,28,31.5,
1954,26.6,27.5,27.4,25.1,19.6,17.8,17.4,19.3,20,24.2,27.3,27.9,23.3
1955,29.5,26.9,27.2,23.5,19.2,16.9,16.7,19.9,22.1,24.9,27.5,26.1,23.4
1956,28.6,26,26,24.3,19.7,17.2,16.2,17.6,20.2,22.6,27,31,23
1957,29.9,26.2,26.9,24.9,22,21.3,16,18.2,19.6,27,31,33.1,24.7
1958,30,29.3,28,23.9,22.8,17.7,17.2,19,19.9,24.6,29.9,26.4,24.1
1959,28.5,29.2,26.6,24.1,20.5,17.7,17.7,19.4,21.3,21.7,27.1,28.1,23.5
1960,31.5,27.7,26,24.3,19.2,16.4,17.9,18.3,21,24.8,25.9,26.5,23.3
1961,28.7,27.9,27.7,23.6,20.1,17.7,17,17.4,21.3,25.7,26,27.4,23.4
1962,26.6,28.2,26.9,23.1,19.3,19.4,17.7,18.2,21.5,24,27.7,26.3,23.2
1963,28.4,28.7,25,23.6,19.7,16.9,17,17.7,21.1,24,25.3,28.6,23
1964,31.1,29.3,27.3,23.7,20.1,17.8,17.8,19.5,22.3,23,27.9,29.8,24.1
1965,28,30.5,30.7,23.6,21.8,18.5,16.7,19.6,23.7,25.3,26.3,27.5,24.3
1966,30,28.4,27.4,25.3,20.2,17.8,17,18.1,20.7,23.3,26.8,27.1,23.5
