Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1967,29.5,27.6,25,24.1,20.8,17.5,17.4,17.5,21,23.8,27.8,28.5,23.4
1968,28,30.9,28.5,26.3,19.5,17,16.4,19.2,22.4,26.9,29.1,27,24.3
1969,31.5,28.7,27.6,25.2,19.7,17.3,17.7,19.7,19.3,21.7,24.8,29.8,23.6
1970,28.1,28.6,26.5,25.1,19.4,19,18.7,19.1,19.7,25.9,24.1,27.6,23.5
1971,27.5,27.7,26.6,23.9,20.2,17.4,16.3,18.8,21.9,26.7,25.1,27.1,23.3
1972,25.9,27,25.5,23.4,19.4,17.8,18,20,24.2,22.9,24.8,30.9,23.3
1973,31.4,26.8,27.3,24.9,21.8,17.9,17.9,18.5,23,23.7,26.2,28.4,24
1974,27,26.8,26.4,23.3,20.4,17.2,17.7,18.2,20.9,23.2,24.7,30,23
1975,30.8,28.9,26.6,22.9,21.2,17.9,19,18.7,21.6,23.3,27.3,29.7,24
1976,27.3,27.4,25.9,23.9,21.4,18.3,17.2,19,20.1,21,26,32.1,23.3
1977,31.4,28.3,27.6,25.4,20.1,16.9,17,20.8,19.8,27.3,28.6,31.8,24.6
1978,28.8,31.2,27.5,24,21.2,16.6,16.7,18.2,19.9,23.4,25.9,26.9,23.4
1979,31.4,31,26.7,24.4,19.5,18.4,18,18.9,21.8,25.2,28.4,33.3,24.7
1980,30.5,29.8,29.6,26.3,20.8,17.8,17,21.4,25.9,26.3,28.6,30.9,25.4
1981,30.4,27.7,27.7,25,20,17.3,17.4,18.4,24.4,25,23.8,29,23.8
1982,29.8,29.4,25.3,24.3,21.5,17.7,16.8,22.1,21.8,24.4,30.2,29.4,24.4
1983,31.3,31.8,29.6,21.9,20.3,16.6,16.7,18.5,23.1,23.2,25.8,27.3,23.8
1984,27.5,28,25.5,23.4,19.8,18.2,15.7,19,20.5,24.2,27.1,29.2,23.2
1985,32.2,27.6,27.9,22.9,19.7,17.4,17,18.1,20.6,23.3,25.4,29.5,23.5
1986,28.5,28.2,28.6,26.9,20.8,18.1,17.5,18.5,22.2,23.6,24.2,27.9,23.8
1987,31.7,30.6,24.8,24,20.3,17.9,17,18.4,23,22.8,26.7,27.4,23.7
1988,29.8,27.1,25.9,22.1,20.6,18.5,18.6,19.5,22.6,28.4,26.6,27,23.9
1989,26.3,27.8,25.7,23.1,20.2,17.1,16.4,17.6,22.5,25.7,25.9,28.4,23.1
1990,27.9,26.4,26.1,22.9,21.1,17.3,17.6,17.9,20.6,24.5,28.5,33.1,23.7
1991,32.5,31.6,29.3,25.1,20.9,19.7,16.7,19.3,22.6,27.1,27.3,27.6,25
1992,28.5,26,26.7,23.2,19.9,17.3,18.3,18.6,21.3,24.2,24.6,26,22.9
1993,30,29.6,25.9,25,20.9,17.7,17.7,20,21.3,24.7,26.4,28.9,24
1994,32.2,30.2,24.7,24.9,21.1,17.7,17.7,19.5,22.7,25.3,28,29.2,24.4
1995,26.9,28.2,26.1,23.1,20.3,17.8,17.4,22.8,20.9,25,26.1,26,23.4
1996,27.4,27.4,26.3,24.4,20.8,18.2,17.1,19.8,23.2,24.6,26.1,28.1,23.6
1997,27.9,29,27.4,26,21.1,18.4,17.1,19.9,20.9,25.8,29.1,31.1,24.5
1998,31.2,31.9,30.3,24.6,20.3,17.6,15.9,18,22.2,24.9,23.5,28.8,24.1
1999,30.5,27.2,26.9,22,21,17.5,17.2,19.3,21.9,23.8,23.9,26.1,23.1
2000,26.5,30.7,26.5,22.9,19.7,17.1,17.9,18.8,24.3,24,24.6,29.6,23.6
2001,31.2,29.1,25.7,24,19.3,19.1,17,18.7,22.1,24.2,25.9,30.2,23.9
2002,30.2,26.5,26.9,25.1,20.2,18.3,18.4,20.5,24.4,27.9,30.3,29.6,24.9
2003,32,29.5,26,23.2,20.8,19.3,17.5,19.3,23,23,26.3,27.9,24
2004,31.4,31.6,27,25.2,21.6,20.1,18.3,20.6,23.4,24.9,27.1,28.1,24.9
2005,30.6,29.8,25.8,25.9,21.3,18.9,18.8,20.4,22.2,25.7,26,32.2,24.8
2006,29.3,30.7,28.2,24.9,20.5,16.5,17.2,19.4,23.4,26.3,28.2,28.3,24.4
2007,31.6,28.6,27,22.5,21.4,14.8,17,20.3,21.8,27.4,25.4,26.4,23.7
2008,28.4,25.6,26.7,21.3,20.5,18.4,17,17.5,22.2,24.6,24.5,27.1,22.8
2009,32,29,27.4,22.7,20.3,17.8,17.9,21.3,23.9,23.2,30.5,30,24.7
2010,31.6,29.3,27.2,24.7,20.5,17.8,17,18.4,21.9,23,25.5,27.8,23.7
2011,30.2,30.6,27.1,22.3,19.3,17.6,17,19.7,22.3,23,27.9,23.9,23.4
2012,27.6,26.6,25.9,24.1,20.8,17.3,17.7,20.4,24.1,25.8,27.9,29.4,24
2013,32.1,28.1,27.5,24.3,21,17.6,18.9,21.6,26.2,28.4,27.8,29.5,25.2
2014,30,29.1,26.9,24.5,22.2,18.9,18.9,18.8,22.7,27.3,30.3,29.2,24.9
2015,29.8,28.4,27.8,22.9,20.1,17.8,16.8,19.7,21.8,27.3,27.9,29.4,24.1
2016,28.9,30.4,29.7,26.7,23.9,18.6,18.5,19.1,21.7,25.2,29.9,31.9,25.4
2017,34.1,32.6,27.1,24.1,21.1,18.1,19,20,25,26.8,26.8,32.6,25.6
2018,34.2,31.8,28.8,28.1,22.7,18.1,20.4,20.3,23.2,24.4,27.4,31,25.9
2019,33.8,30.2,28.6,25.6,22.4,18.5,19.4,20.3,,,,,
